created_at,text,source,geo
2016-12-21T00:19:49.000Z,RT @Lakers: A ✋in the face doesn't bother Julius #LakeShow https://t.co/Yoormak4PN,Twitter for iPhone,
2016-12-21T00:19:49.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for Android,
2016-12-21T00:19:50.000Z,RT @FOXSports: Lakers reveal details on @SHAQ’s massive statue and when it will be unveiled. https://t.co/TiaaXjPSGd,Twitter for Android,
2016-12-21T00:19:51.000Z,"The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 assists.",TweetDeck,
2016-12-21T00:19:52.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for Android,
2016-12-21T00:19:53.000Z,"RT @TheHoopCentral: The Lakers new Statue of Shaq. Will be revealed March 24, 2017. https://t.co/nsqbWf2PEC",Twitter Web Client,
2016-12-21T00:19:53.000Z,Lakers looking #good,Twitter Web Client,
2016-12-21T00:19:53.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for iPhone,
2016-12-21T00:19:55.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:19:55.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for Android,
2016-12-21T00:19:55.000Z,RT @Lakers: A ✋in the face doesn't bother Julius #LakeShow https://t.co/Yoormak4PN,Twitter for Android,
2016-12-21T00:19:56.000Z,Lakers 19 Hornets 12 w/ 6:19 remaining in the 1st,Twitter for iPhone,
2016-12-21T00:19:57.000Z,"RT @LakersNation: Before we get focused on the game, Jeanie Buss revealed the date Shaq’s statue will be unveiled at Staples Center… ",Twitter for iPhone,
2016-12-21T00:19:57.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for iPhone,
2016-12-21T00:20:00.000Z,"RT @Lakers: D3ng hits with a defender in his grill!

Lakers lead 14-10 early in the first.",Twitter for iPhone,
2016-12-21T00:20:00.000Z,RT @Lakers: 450 of Kinston's finest made the four hour drive down to Charlotte to support their native son. #LakeShow https://t.co/PTJxQeKG…,Twitter for Android,
2016-12-21T00:20:01.000Z,RT @BaxterHolmes: Lakers announce that a statue of Shaq will be unveiled at Star Plaza outside Staples Center prior to the Lakers gam… ,Twitter for iPhone,
2016-12-21T00:20:03.000Z,"RT @LakersReporter: The Lakers have it going offensively to start, using the 2nd @NickSwagyPYoung 3 to take a 19-12 lead. @Dloading has 4 a…",Twitter for iPhone,
2016-12-21T00:20:03.000Z,RT @MarcJSpearsESPN: The unveiling of a bronze statue of ex-Lakers star and Hall of Famer Shaquille will take place in Star Plaza at STAPLE…,Twitter for Android,
2016-12-21T00:20:04.000Z,"RT @SerenaWinters: And Lakers fans, this ceremony is OPEN to the public. Fans can gather on Chick Hearn court. Ceremony will start at… ",Twitter for iPhone,
2016-12-21T00:20:04.000Z,"Timeout
Lakers 19-12 Hornets",Twitter for iPhone,
2016-12-21T00:20:04.000Z,RT @Lakers: #LakeShow https://t.co/MTfhGXpbTq,Twitter for iPhone,
2016-12-21T00:20:05.000Z,RT @FOXSports: Lakers reveal details on @SHAQ’s massive statue and when it will be unveiled. https://t.co/TiaaXjPSGd,Twitter for iPhone,
2016-12-21T00:20:05.000Z,"RT FOXSports ""Lakers reveal details on SHAQ’s massive statue and when it will be unveiled. https://t.co/aU0MfKJmG0""",IFTTT,
